ID,Performance Index
1,91
2,65
3,45
4,36
5,66
6,61
7,63
8,42
9,61
10,69
11,84
12,73
13,27
14,33
15,68
16,43
17,67
18,70
19,30
20,63
21,71
22,85
23,73
24,57
25,35
26,49
27,66
28,83
29,74
30,74
31,39
32,36
33,58
34,47
35,60
36,74
37,42
38,68
39,32
40,64
41,45
42,39
43,58
44,36
45,71
46,54
47,17
48,54
49,58
50,53
51,27
52,65
53,75
54,52
55,78
56,91
57,33
58,47
59,78
60,38
61,70
62,98
63,87
64,49
65,41
66,71
67,54
68,42
69,91
70,61
71,74
72,54
73,81
74,52
75,65
76,36
77,61
78,35
79,15
80,88
81,45
82,49
83,33
84,60
85,71
86,81
87,67
88,95
89,58
90,29
91,21
92,38
93,60
94,76
95,69
96,30
97,57
98,81
99,36
100,25
101,27
102,61
103,34
104,76
105,57
106,45
107,76
108,83
109,50
110,81
111,66
112,38
113,56
114,25
115,56
116,82
117,23
118,56
119,46
120,43
121,30
122,92
123,45
124,70
125,36
126,71
127,49
128,82
129,71
130,43
131,77
132,86
133,34
134,49
135,69
136,84
137,41
138,68
139,44
140,41
141,58
142,68
143,94
144,47
145,40
146,100
147,23
148,36
149,47
150,60
151,83
152,33
153,36
154,74
155,42
156,47
157,31
158,26
159,58
160,42
161,18
162,85
163,36
164,58
165,45
166,60
167,56
168,42
169,33
170,77
171,51
172,72
173,57
174,53
175,16
176,45
177,49
178,67
179,49
180,73
181,65
182,27
183,72
184,74
185,38
186,67
187,28
188,73
189,72
190,42
191,47
192,77
193,49
194,30
195,54
196,56
197,75
198,78
199,32
200,89
201,29
202,57
203,48
204,27
205,38
206,18
207,66
208,65
209,27
210,33
211,37
212,29
213,26
214,72
215,77
216,45
217,41
218,73
219,43
220,39
221,54
222,62
223,63
224,59
225,46
226,42
227,30
228,63
229,89
230,62
231,77
232,88
233,35
234,60
235,92
236,38
237,56
238,70
239,35
240,47
241,66
242,43
243,81
244,43
245,46
246,61
247,27
248,77
249,43
250,60
251,48
252,47
253,60
254,53
255,19
256,23
257,81
258,41
259,71
260,75
261,89
262,28
263,60
264,54
265,41
266,52
267,53
268,52
269,47
270,71
271,42
272,21
273,48
274,64
275,38
276,49
277,35
278,73
279,81
280,47
281,36
282,63
283,52
284,58
285,77
286,58
287,33
288,67
289,76
290,62
291,37
292,86
293,37
294,88
295,38
296,76
297,57
298,82
299,35
300,41
301,75
302,51
303,34
304,92
305,39
306,56
307,69
308,69
309,40
310,63
311,86
312,89
313,94
314,79
315,44
316,33
317,36
318,50
319,94
320,22
321,44
322,60
323,64
324,58
325,78
326,51
327,30
328,29
329,22
330,51
331,45
332,70
333,10
334,38
335,30
336,82
337,74
338,87
339,77
340,72
341,51
342,40
343,72
344,68
345,22
346,67
347,18
348,64
349,66
350,50
351,68
352,44
353,90
354,41
355,83
356,57
357,64
358,18
359,62
360,66
361,85
362,62
363,62
364,62
365,26
366,66
367,43
368,30
369,25
370,77
371,88
372,62
373,82
374,73
375,44
376,40
377,39
378,34
379,27
380,73
381,46
382,78
383,80
384,33
385,68
386,45
387,56
388,58
389,37
390,88
391,75
392,70
393,62
394,57
395,32
396,53
397,82
398,41
399,75
400,63
401,17
402,24
403,69
404,47
405,43
406,48
407,17
408,75
409,54
410,59
411,56
412,20
413,34
414,54
415,83
416,59
417,63
418,72
419,70
420,41
421,54
422,21
423,83
424,64
425,51
426,66
427,83
428,26
429,49
430,85
431,95
432,56
433,50
434,23
435,26
436,30
437,28
438,48
439,46
440,73
441,45
442,76
443,71
444,60
445,77
446,36
447,96
448,62
449,22
450,21
451,79
452,82
453,55
454,22
455,70
456,37
457,42
458,64
459,72
460,42
461,56
462,43
463,24
464,55
465,64
466,34
467,78
468,71
469,33
470,46
471,86
472,34
473,26
474,44
475,53
476,61
477,84
478,40
479,53
480,67
481,58
482,41
483,89
484,85
485,33
486,20
487,66
488,38
489,25
490,43
491,79
492,16
493,67
494,80
495,26
496,57
497,91
498,29
499,48
500,84
501,33
502,82
503,81
504,24
505,81
506,54
507,25
508,53
509,48
510,40
511,66
512,29
513,73
514,89
515,27
516,40
517,83
518,69
519,72
520,77
521,32
522,49
523,44
524,57
525,34
526,76
527,22
528,30
529,67
530,71
531,29
532,74
533,67
534,46
535,34
536,76
537,64
538,46
539,68
540,58
541,41
542,64
543,84
544,70
545,77
546,60
547,65
548,21
549,60
550,48
551,77
552,63
553,68
554,81
555,29
556,66
557,36
558,29
559,32
560,31
561,45
562,65
563,57
564,58
565,38
566,22
567,48
568,59
569,58
570,62
571,30
572,56
573,40
574,59
575,65
576,43
577,48
578,24
579,51
580,81
581,62
582,43
583,63
584,73
585,76
586,43
587,34
588,57
589,72
590,47
591,52
592,49
593,77
594,41
595,56
596,89
597,65
598,49
599,48
600,47
601,37
602,48
603,61
604,77
605,75
606,57
607,45
608,82
609,90
610,42
611,74
612,60
613,73
614,40
615,32
616,67
617,46
618,65
619,42
620,69
621,62
622,75
623,40
624,43
625,42
626,84
627,15
628,39
629,26
630,73
631,34
632,34
633,37
634,34
635,85
636,31
637,18
638,92
639,44
640,72
641,40
642,31
643,25
644,44
645,27
646,66
647,34
648,70
649,81
650,56
651,30
652,60
653,64
654,74
655,52
656,84
657,66
658,32
659,47
660,51
661,67
662,57
663,71
664,86
665,77
666,72
667,24
668,60
669,55
670,54
671,39
672,19
673,68
674,83
675,72
676,49
677,74
678,86
679,26
680,60
681,54
682,73
683,61
684,45
685,57
686,68
687,72
688,17
689,37
690,54
691,22
692,73
693,47
694,63
695,63
696,68
697,52
698,64
699,38
700,60
701,45
702,39
703,75
704,67
705,48
706,44
707,37
708,41
709,47
710,45
711,43
712,54
713,32
714,64
715,74
716,50
717,33
718,36
719,45
720,58
721,85
722,41
723,78
724,63
725,76
726,51
727,36
728,74
729,65
730,65
731,79
732,46
733,47
734,42
735,46
736,34
737,27
738,52
739,17
740,53
741,84
742,39
743,44
744,36
745,81
746,30
747,80
748,41
749,77
750,69
751,34
752,64
753,78
754,74
755,52
756,76
757,53
758,46
759,77
760,59
761,35
762,61
763,46
764,97
765,86
766,24
767,37
768,18
769,84
770,59
771,29
772,84
773,60
774,78
775,46
776,31
777,68
778,25
779,37
780,62
781,69
782,50
783,55
784,54
785,12
786,88
787,69
788,88
789,41
790,83
791,62
792,45
793,42
794,65
795,73
796,23
797,61
798,41
799,85
800,93
801,35
802,92
803,79
804,57
805,49
806,28
807,85
808,82
809,80
810,41
811,57
812,41
813,43
814,73
815,46
816,61
817,61
818,87
819,78
820,43
821,75
822,72
823,18
824,36
825,92
826,71
827,58
828,69
829,58
830,74
831,72
832,61
833,74
834,60
835,70
836,27
837,49
838,17
839,34
840,51
841,27
842,67
843,84
844,81
845,45
846,50
847,67
848,67
849,77
850,70
851,59
852,27
853,88
854,60
855,14
856,27
857,54
858,32
859,79
860,44
861,20
862,42
863,33
864,58
865,31
866,75
867,22
868,46
869,68
870,66
871,60
872,44
873,90
874,47
875,88
876,56
877,66
878,78
879,43
880,72
881,69
882,24
883,47
884,45
885,72
886,51
887,73
888,28
889,56
890,29
891,60
892,28
893,66
894,21
895,84
896,42
897,51
898,74
899,50
900,62
901,90
902,32
903,71
904,37
905,42
906,85
907,96
908,51
909,82
910,64
911,67
912,32
913,50
914,73
915,62
916,48
917,20
918,33
919,43
920,49
921,70
922,28
923,82
924,29
925,42
926,79
927,41
928,61
929,69
930,68
931,38
932,67
933,54
934,39
935,93
936,76
937,39
938,38
939,69
940,88
941,54
942,68
943,33
944,40
945,87
946,64
947,70
948,70
949,72
950,38
951,71
952,40
953,58
954,77
955,38
956,60
957,57
958,63
959,82
960,84
961,84
962,77
963,61
964,73
965,15
966,64
967,33
968,78
969,43
970,34
971,48
972,66
973,60
974,53
975,51
976,43
977,68
978,80
979,26
980,70
981,85
982,57
983,30
984,56
985,53
986,52
987,47
988,48
989,78
990,79
991,75
992,40
993,59
994,49
995,48
996,60
997,29
998,68
999,63
1000,71
1001,76
1002,57
1003,54
1004,61
1005,34
1006,32
1007,23
1008,44
1009,18
1010,82
1011,18
1012,52
1013,88
1014,78
1015,26
1016,26
1017,74
1018,52
1019,40
1020,54
1021,51
1022,35
1023,79
1024,45
1025,81
1026,87
1027,56
1028,65
1029,38
1030,17
1031,35
1032,20
1033,75
1034,26
1035,23
1036,38
1037,78
1038,91
1039,67
1040,31
1041,49
1042,57
1043,45
1044,22
1045,35
1046,65
1047,53
1048,79
1049,57
1050,58
1051,50
1052,75
1053,17
1054,70
1055,36
1056,61
1057,78
1058,71
1059,36
1060,63
1061,78
1062,39
1063,70
1064,34
1065,49
1066,71
1067,34
1068,77
1069,67
1070,52
1071,25
1072,68
1073,76
1074,85
1075,40
1076,56
1077,62
1078,99
1079,46
1080,86
1081,73
1082,74
1083,37
1084,50
1085,65
1086,79
1087,53
1088,55
1089,31
1090,47
1091,63
1092,27
1093,53
1094,33
1095,56
1096,65
1097,55
1098,67
1099,32
1100,73
1101,45
1102,43
1103,32
1104,42
1105,55
1106,28
1107,58
1108,67
1109,66
1110,46
1111,79
1112,83
1113,63
1114,45
1115,63
1116,70
1117,58
1118,50
1119,77
1120,75
1121,40
1122,43
1123,47
1124,22
1125,71
1126,63
1127,37
1128,72
1129,73
1130,72
1131,68
1132,59
1133,97
1134,83
1135,65
1136,47
1137,51
1138,32
1139,63
1140,60
1141,70
1142,32
1143,32
1144,29
1145,21
1146,74
1147,81
1148,11
1149,65
1150,37
1151,75
1152,61
1153,17
1154,87
1155,52
1156,71
1157,46
1158,99
1159,40
1160,42
1161,91
1162,57
1163,58
1164,55
1165,46
1166,64
1167,45
1168,78
1169,24
1170,36
1171,65
1172,35
1173,87
1174,45
1175,35
1176,18
1177,46
1178,63
1179,62
1180,35
1181,63
1182,58
1183,37
1184,74
1185,40
1186,78
1187,38
1188,55
1189,39
1190,84
1191,60
1192,47
1193,34
1194,54
1195,56
1196,82
1197,45
1198,45
1199,43
1200,57
1201,56
1202,56
1203,30
1204,75
1205,33
1206,80
1207,27
1208,26
1209,81
1210,41
1211,34
1212,68
1213,83
1214,44
1215,75
1216,52
1217,56
1218,37
1219,67
1220,50
1221,46
1222,31
1223,51
1224,82
1225,58
1226,31
1227,29
1228,40
1229,51
1230,79
1231,52
1232,36
1233,43
1234,81
1235,81
1236,84
1237,55
1238,64
1239,68
1240,41
1241,53
1242,50
1243,65
1244,78
1245,31
1246,30
1247,64
1248,26
1249,66
1250,55
1251,52
1252,57
1253,68
1254,57
1255,75
1256,54
1257,82
1258,51
1259,43
1260,68
1261,77
1262,33
1263,37
1264,23
1265,26
1266,56
1267,42
1268,65
1269,66
1270,57
1271,59
1272,28
1273,46
1274,84
1275,42
1276,73
1277,77
1278,74
1279,75
1280,94
1281,27
1282,89
1283,62
1284,59
1285,73
1286,57
1287,90
1288,80
1289,50
1290,18
1291,68
1292,39
1293,67
1294,69
1295,43
1296,84
1297,50
1298,65
1299,74
1300,35
1301,61
1302,64
1303,66
1304,81
1305,93
1306,28
1307,71
1308,13
1309,59
1310,67
1311,35
1312,46
1313,59
1314,57
1315,51
1316,80
1317,22
1318,71
1319,73
1320,40
1321,75
1322,24
1323,45
1324,25
1325,42
1326,63
1327,44
1328,26
1329,31
1330,26
1331,15
1332,77
1333,31
1334,75
1335,34
1336,74
1337,68
1338,64
1339,43
1340,54
1341,53
1342,56
1343,34
1344,27
1345,66
1346,41
1347,25
1348,20
1349,45
1350,70
1351,86
1352,46
1353,73
1354,42
1355,27
1356,64
1357,71
1358,56
1359,43
1360,50
1361,31
1362,42
1363,60
1364,76
1365,28
1366,45
1367,71
1368,44
1369,48
1370,57
1371,61
1372,86
1373,95
1374,70
1375,81
1376,18
1377,24
1378,32
1379,40
1380,25
1381,41
1382,66
1383,83
1384,22
1385,70
1386,42
1387,56
1388,72
1389,31
1390,60
1391,74
1392,62
1393,44
1394,46
1395,96
1396,51
1397,43
1398,51
1399,58
1400,23
1401,67
1402,50
1403,31
1404,83
1405,55
1406,44
1407,45
1408,73
1409,76
1410,23
1411,84
1412,73
1413,48
1414,50
1415,30
1416,51
1417,76
1418,66
1419,50
1420,40
1421,42
1422,29
1423,77
1424,45
1425,49
1426,74
1427,45
1428,27
1429,44
1430,42
1431,43
1432,68
1433,29
1434,73
1435,39
1436,30
1437,53
1438,38
1439,82
1440,72
1441,24
1442,44
1443,45
1444,75
1445,75
1446,26
1447,49
1448,42
1449,14
1450,64
1451,54
1452,16
1453,73
1454,67
1455,69
1456,28
1457,67
1458,62
1459,60
1460,43
1461,70
1462,70
1463,84
1464,72
1465,44
1466,46
1467,41
1468,58
1469,44
1470,89
1471,45
1472,87
1473,61
1474,41
1475,57
1476,62
1477,39
1478,54
1479,33
1480,42
1481,70
1482,67
1483,80
1484,44
1485,69
1486,66
1487,35
1488,61
1489,68
1490,55
1491,36
1492,56
1493,58
