student_id,age,gender,course,semester,study_hours,sleep_hours,internet_usage_hours,extracurricular_activity,stress_level,physical_activity_hours,attendance_percentage,assignment_score,internal_exam_score,previous_semester_marks,previous_cgpa,final_score,performance_category,pass_fail
STU1001,23.0,Male,Business,3,5.54,7.62,,Yes,Medium,3.22,,64.31,76.54,50.98,5.78,39.51,Low,Fail
STU1002,20.0,Male,Civil,1,2.26,6.0,3.97,No,Medium,2.74,60.54,91.91,65.98,82.94,6.87,52.13,Average,Pass
STU1003,21.0,Male,Electronics,5,3.53,7.34,2.8,Yes,High,3.13,89.66,83.82,68.47,86.96,7.56,51.59,Average,Pass
STU1004,23.0,Male,Computer Science,8,2.91,9.88,0.88,Yes,Medium,2.98,79.72,81.49,83.25,82.77,6.57,39.36,Low,Fail
STU1005,19.0,Male,Electronics,7,3.48,6.37,5.64,Yes,Low,6.88,68.08,81.45,66.41,72.39,,56.88,Average,Pass
STU1006,24.0,Male,Civil,6,3.65,6.97,4.85,Yes,Medium,1.0,73.29,77.51,68.21,69.35,6.57,41.33,Low,Fail
STU1007,21.0,Male,Mechanical,8,3.63,,2.07,Yes,Medium,0.02,98.14,96.21,59.6,46.76,8.75,45.64,Low,Fail
STU1008,21.0,Male,Computer Science,7,7.08,6.72,2.92,No,Medium,3.5,77.12,72.53,74.03,61.31,7.06,44.91,Low,Fail
STU1009,23.0,Male,Computer Science,3,2.24,7.05,3.07,Yes,Medium,2.44,75.82,78.93,72.9,54.74,7.94,41.95,Low,Fail
STU1010,18.0,Female,Computer Science,2,,6.73,1.03,Yes,High,,66.7,54.59,80.61,37.62,8.02,23.2,Low,Fail
STU1011,19.0,Male,Mechanical,8,8.04,5.28,2.36,Yes,High,3.88,55.27,62.1,59.89,80.86,6.51,31.89,Low,Fail
STU1012,23.0,Female,Civil,7,3.72,6.75,1.73,No,Medium,4.93,76.08,57.59,61.59,54.56,4.94,28.79,Low,Fail
STU1013,19.0,Female,Computer Science,3,3.21,8.25,3.18,No,Medium,0.74,81.91,87.29,79.09,82.94,7.6,43.44,Low,Fail
STU1014,19.0,Male,Computer Science,3,4.42,7.04,2.52,Yes,Medium,2.16,91.2,41.37,71.53,78.23,7.28,55.58,Average,Pass
STU1015,24.0,Female,Computer Science,2,7.95,7.65,,No,,3.64,51.02,67.17,55.31,73.35,7.81,5.27,Low,Fail
STU1016,21.0,Female,Business,4,5.49,6.22,8.05,Yes,High,4.16,64.5,36.08,86.29,74.19,6.95,31.35,Low,Fail
STU1017,20.0,Male,Computer Science,8,3.67,7.4,6.51,Yes,Low,6.29,71.03,62.02,44.22,55.77,6.73,47.17,Low,Fail
STU1018,24.0,Male,Civil,8,6.21,6.84,2.44,Yes,Medium,4.43,77.96,66.11,78.98,92.87,9.41,57.35,Average,Pass
STU1019,24.0,Female,Mechanical,4,2.24,5.36,4.54,Yes,Medium,2.91,76.26,88.62,50.29,65.65,5.58,51.96,Average,Pass
STU1020,19.0,Female,Electronics,1,6.7,6.88,4.83,Yes,Low,1.66,76.54,76.76,94.4,69.53,8.01,78.55,Good,Pass
STU1021,22.0,Male,Computer Science,1,6.02,5.31,6.38,No,Low,2.15,82.9,62.0,46.38,55.26,6.57,9.87,Low,Fail
STU1022,21.0,Male,Computer Science,4,4.23,5.74,2.36,Yes,Medium,2.11,67.16,84.79,84.13,51.03,6.83,42.67,Low,Fail
STU1023,18.0,Male,Mechanical,6,2.9,6.73,6.18,No,,3.98,89.21,72.21,66.86,72.16,6.85,21.53,Low,Fail
STU1024,24.0,Male,Civil,5,2.78,6.86,2.9,Yes,Low,3.39,83.2,72.45,62.87,68.26,6.32,53.24,Average,Pass
STU1025,20.0,Female,Mechanical,3,6.34,5.07,1.33,Yes,Medium,1.01,74.16,57.57,70.6,53.16,7.83,41.35,Low,Fail
STU1026,22.0,Male,Mechanical,5,8.07,7.76,5.45,Yes,Medium,2.35,97.21,60.12,76.85,43.42,8.73,26.7,Low,Fail
STU1027,22.0,Male,Computer Science,3,3.41,7.19,6.58,No,Medium,4.32,96.68,62.1,55.34,45.95,7.72,55.0,Average,Pass
STU1028,18.0,Female,Business,4,6.15,5.65,9.18,Yes,Medium,3.53,89.19,72.56,56.58,82.94,7.31,64.88,Average,Pass
STU1029,24.0,Male,Civil,1,0.0,4.65,1.6,No,Low,3.85,41.78,72.93,77.09,55.8,6.11,17.91,Low,Fail
STU1030,20.0,Male,Computer Science,6,3.54,6.33,5.4,Yes,Medium,3.57,96.95,90.53,44.1,59.92,7.77,67.8,Good,Pass
STU1031,21.0,Female,Business,1,4.92,5.96,3.18,Yes,Low,5.44,87.54,76.62,59.82,86.76,9.57,53.97,Average,Pass
STU1032,17.0,Female,Mechanical,5,2.73,6.64,5.57,Yes,Medium,3.35,100.0,39.51,100.0,48.17,6.78,30.68,Low,Fail
STU1033,20.0,Male,Mechanical,1,2.66,6.06,1.06,Yes,Low,2.42,92.85,75.15,54.45,54.1,6.79,28.06,Low,Fail
STU1034,18.0,Female,Civil,4,3.33,4.09,1.47,Yes,Medium,1.63,,54.6,84.07,53.47,6.58,64.04,Average,Pass
STU1035,22.0,Male,Civil,6,5.73,6.03,2.45,Yes,Low,3.37,88.54,60.41,59.8,89.27,6.66,70.81,Good,Pass
STU1036,21.0,Male,Mechanical,5,4.53,6.13,4.16,No,Medium,0.0,94.18,62.25,75.13,94.9,4.18,68.69,Good,Pass
STU1037,20.0,Female,Computer Science,6,0.0,7.26,2.72,Yes,High,2.72,100.0,64.04,77.16,76.27,7.65,51.17,Average,Pass
STU1038,17.0,Male,Electronics,8,0.0,5.66,5.32,No,Low,2.69,80.6,55.5,83.81,76.75,6.27,53.43,Average,Pass
STU1039,17.0,Male,Business,3,3.48,,6.05,Yes,Medium,0.95,59.13,74.44,65.2,56.29,5.43,35.29,Low,Fail
STU1040,19.0,Male,Computer Science,1,6.14,4.21,5.2,No,Low,1.61,74.31,55.07,95.84,94.21,8.03,69.74,Good,Pass
STU1041,19.0,Male,Electronics,6,0.0,,7.24,No,Medium,4.21,82.68,76.28,59.75,69.02,6.01,41.33,Low,Fail
STU1042,23.0,Male,Electronics,2,3.75,6.23,4.83,Yes,Medium,3.35,78.9,98.84,71.28,77.8,6.83,56.56,Average,Pass
STU1043,18.0,Male,Electronics,8,3.68,7.53,1.57,Yes,Medium,3.15,63.04,56.05,71.43,63.42,8.81,38.26,Low,Fail
STU1044,24.0,Male,Mechanical,1,8.47,6.6,6.73,No,Medium,3.46,58.43,68.59,52.29,60.98,5.65,38.78,Low,Fail
STU1045,20.0,Male,Business,3,4.04,,2.79,No,High,3.14,69.11,41.72,64.0,89.95,5.51,35.63,Low,Fail
STU1046,20.0,Female,Computer Science,6,5.96,6.04,5.82,Yes,Medium,4.86,87.69,68.39,70.26,73.1,7.5,43.89,Low,Fail
STU1047,24.0,Female,Computer Science,5,5.35,5.18,7.15,Yes,Medium,3.19,96.96,79.71,61.95,86.77,8.46,56.76,Average,Pass
STU1048,23.0,Female,Computer Science,3,0.0,8.2,4.91,No,Medium,0.81,89.0,80.65,100.0,68.83,5.47,62.35,Average,Pass
STU1049,22.0,Female,Business,2,6.92,6.36,1.01,Yes,High,5.45,90.69,72.93,56.26,52.27,,39.35,Low,Fail
